date ,,gj_usage
"Wednesday, January 4, 2023",5249,
"Monday, February 6, 2023",5445,196
"Monday, March 6, 2023",5639,194
"Thursday, April 27, 2023",5854,215
"Friday, May 5, 2023",5854,0
"Tuesday, June 6, 2023",5854,0
"Wednesday, July 5, 2023",5859,5
"Tuesday, August 8, 2023",5859,0
"Thursday, September 7, 2023",5860,1
"Thursday, October 5, 2023",5860,0
"Friday, November 6, 2023",5942,82
"Wednesday, December 6, 2023",6041,99
"Monday, January 8, 2024",6176,135
"Monday, February 5, 2024",6342,166
"Tuesday, March 5, 2024",7203,861
"Friday, April 5, 2024",7928,725
"Tuesday, May 7, 2024",8376,448
"Wednesday, June 5, 2024",8446,70
"Monday, July 8, 2024",8461,15
"Wednesday, August 7, 2024",8461,0
"Sunday, September 1, 2024",,
"Friday, October 4, 2024",8476,
"Tuesday, November 5, 2024",8781,305
"Thursday, December 5, 2024",9622,841
"Wednesday, January 8, 2025",10688,1066
"Saturday, February 1, 2025",,
"Thursday, March 6, 2025",12825,
"Friday, April 4, 2025",13469,644
"Monday, May 5, 2025",13676,207
"Thursday, June 5, 2025",13697,21
"Monday, July 7, 2025",13698,1
"Tuesday, August 5, 2025",13698,0
"Friday, September 5, 2025",13698,0
"Thursday, October 9, 2025",13729,31
"Thursday, November 6, 2025",14059,330
"Saturday, December 6, 2025",14779,720
"Monday, January 5, 2026",16119,1340
"Thursday, February 5, 2026",16874,755
"Thursday, March 5, 2026",17724,850
